,median_income,pct_high_income
10030,33720,4.0
11226,45031,2.6
10305,74063,6.0
10280,146875,37.6
11208,37640,1.8
11362,82827,8.9
10469,57124,3.3
10282,250001,59.9
11418,63079,4.3
10471,81594,11.7
11233,35686,2.5
11210,59520,5.8
11361,81846,8.1
10302,55864,3.7
10468,34988,1.0
10314,77761,8.4
10312,88567,9.5
10044,86483,16.0
11354,43660,4.0
11356,57849,3.9
11416,59092,3.5
10022,123693,32.8
10029,32500,4.8
11414,70490,7.0
10023,115080,28.4
11218,60821,6.6
10069,155702,39.6
10024,118594,31.5
10021,115681,33.1
10455,23962,1.0
10009,60788,9.5
11373,45677,3.1
11206,31549,2.8
10309,93248,12.8
10304,53843,8.1
10306,78745,7.9
10012,101815,21.6
11229,55187,5.5
10473,36686,1.8
10006,125364,30.2
11203,46971,2.5
10005,130116,31.5
11209,65181,8.8
11436,66837,2.3
11366,78223,13.7
11237,46351,2.4
11423,66070,5.1
11434,57454,2.0
11417,66978,4.5
11694,79145,8.8
11216,52239,4.9
11368,45980,1.3
11220,40576,2.8
11428,68675,3.7
10465,73068,7.0
10463,56568,5.8
10007,234958,58.9
11691,41190,2.5
11234,75362,7.5
10028,111302,28.1
11360,82982,10.2
11211,59190,10.6
11422,85436,6.5
10460,24086,0.6
11224,31371,2.3
10310,69201,6.4
11215,108178,21.9
10075,114481,28.5
11419,62014,4.9
11378,61631,4.9
10457,25967,0.6
10065,118310,33.2
10014,119026,29.9
10128,103817,25.1
10019,94477,22.5
10452,25771,0.8
11222,73391,8.6
11429,77037,4.8
11432,52277,5.3
10038,82910,18.0
11426,77487,6.0
10453,22914,0.4
10018,105479,24.4
10013,104167,32.9
10454,21553,0.7
10461,55332,4.0
10003,100791,24.9
11421,64544,5.1
11109,133070,32.9
10035,26893,2.1
10016,102703,22.1
11355,38451,2.0
10466,44354,2.3
11217,94970,20.6
11420,61484,4.8
11363,90443,13.3
11379,75320,5.0
11433,45820,2.0
10001,85168,22.7
10308,87493,7.2
11236,60885,3.8
11375,72982,9.2
11219,36573,2.1
10031,41848,3.1
10470,58839,3.2
10011,114134,28.5
11692,42333,3.2
11207,35849,1.4
10032,40054,1.8
10307,77278,12.3
11427,65494,6.6
10456,25868,0.5
11377,51675,3.1
10037,39463,2.0
11201,109472,24.9
11369,51864,2.0
11101,51964,8.9
11374,55550,4.3
10301,55700,5.7
11204,47135,4.3
11232,47785,3.8
11106,56442,4.2
10467,34964,0.9
10451,26419,1.6
10026,52082,9.0
10034,45643,3.2
11238,75757,10.4
10464,76917,6.1
11230,43344,5.9
11212,28495,0.8
10459,24805,0.7
10462,48315,1.5
11415,64055,6.3
11225,48597,3.6
10017,106795,23.6
11223,44647,4.5
11372,52792,3.3
10004,123056,30.2
10025,80025,19.2
10036,83812,18.1
11693,53829,3.0
11385,60526,3.4
11364,70408,7.8
11104,57155,5.1
11221,43361,3.0
10040,45811,3.0
10010,110142,28.8
10039,32257,2.1
11358,66173,8.3
11205,47437,7.5
10033,46349,4.6
10002,35594,6.3
11435,55268,2.6
11214,52119,4.1
10303,55198,2.8
10458,30339,1.0
11365,62509,5.9
11213,37556,1.9
10027,42754,7.3
11367,57310,3.7
11103,62775,4.3
11228,63641,8.0
11357,74255,6.2
11102,56674,5.3
11370,53293,3.6
11235,45578,5.0
11231,84223,19.0
